product_name,price,image,product_url,category,subcategory,brand
"Entourage Black Don Premium Cigar Double Wrapped Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230129567-LKKK0VL3NGMHJQC19H7U/Ent+Black+Don.jpg,https://www.entouragecigar.com/entourage/crawg8x30bxk7fhaosf0n83579nqz0,cigarillo,Double Wrapped,Entourage
"Entourage Connoisseur Premium Cigar Double Wrapped Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230135536-3T62QU0PMPBPEYMGJWGA/Ent+Connoisseur.jpg,https://www.entouragecigar.com/entourage/owtsjdql8rop50jhufwzcgqr56son7,cigarillo,Double Wrapped,Entourage
"Entourage Palma Premium Cigar Double Wrapped Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230145880-J7GQGGWIU0XC9XHPQAR7/Ent+Palma.jpg,https://www.entouragecigar.com/entourage/5sb1yj8j1kxnnpnwsx874a1il1kfdl,cigarillo,Double Wrapped,Entourage
"Entourage Pink Vanilla Flavored Cigar Premium Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230153597-Z54S3I9OJ14LWVD1EZ5Y/Ent+Pink+Berry.jpg,https://www.entouragecigar.com/entourage/jmmnyo5346ltr77v5jy7i6ndxxhnjb,cigarillo,Flavored Cigar,Entourage
"Entourage Vanilla Flavored Cigar Premium Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230159016-A9DLVPNJMLKWXOX5YX5Q/Ent+Vanilla.jpg,https://www.entouragecigar.com/entourage/ad8weul88iyjiqv7l0fckrx2nnrlpf,cigarillo,Flavored Cigar,Entourage
"Entourage Le Privé Flavored Cigar Premium Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230609547-PCQ9N0LP0QW1FB6HA4C0/Ent+Le+Prive.jpg,https://www.entouragecigar.com/entourage/xhch1ymj0gxek74gqkc8f0b6xqkcwm,cigarillo,Flavored Cigar,Entourage
"Entourage Wine Flavored Cigar Premium Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1458230164220-DOF1V3ULUTU6BZRRMPPF/Ent+Wine.jpg,https://www.entouragecigar.com/entourage/8cujdiv9ehbq821njzd8s7jpta3f2r,cigarillo,Flavored Cigar,Entourage
"Entourage Pink Duchess Flavored Cigar Premium Cigarillo",25.99,https://images.squarespace-cdn.com/content/v1/55b17991e4b03b6304d9431d/1461954611309-VH04YRMG2ANOEBU6J49H/ENT25PinkDuchess_web.jpg,https://www.entouragecigar.com/entourage/uf9o79il7l3v2q23nkhpshmahe1t6x,cigarillo,Flavored Cigar,Entourage
"Entourage Leaf Limited Leaf Wrap Premium Flavored Cigar Cigarillo",25.99,https://cdn11.bigcommerce.com/s-3om7ob/products/11220/images/34426/Entourage-Leaf-Limited---Box-with-Single-Pouch__34279.1770674805.500.500.jpg?c=3,https://www.gothamcigars.com/entourage-leaf-limited/,cigarillo,Leaf Wrap,Entourage
"Entourage Leaf Pink Premier Leaf Wrap Premium Flavored Cigar Cigarillo",25.99,https://cdn11.bigcommerce.com/s-3om7ob/products/11221/images/34418/Entourage-Leaf-Pink-Premier---Box-with-Single-Pouch__99611.1770666533.500.500.jpg?c=3,https://www.gothamcigars.com/entourage-leaf-pink-premier/,cigarillo,Leaf Wrap,Entourage
"Entourage Leaf DRK Leaf Wrap Premium Flavored Cigar Cigarillo",25.99,https://cdn11.bigcommerce.com/s-3om7ob/products/11219/images/34424/Entourage-Leaf-DRK---Box-with-Single-Pouch__29722.1770731167.500.500.jpg?c=3,https://www.gothamcigars.com/entourage-leaf-drk/,cigarillo,Leaf Wrap,Entourage
