product_name,price,price_original,image,product_url,category,subcategory,brand,description
1876 Reserve Churchill,25.99,$104.50 · Now $47.49 - $49.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10848/30750/1876_Reserve_Churchill__51340.1684948404.png?c=3,https://www.gothamcigars.com/1876-reserve-churchill,cigar,Premium Cigars,1876 Reserve,"1876 Reserve Churchill is an impressive Dominican cigar, especially for the price. These mild bodied cigars are made with an incredible blend of Dominican long fillers, Sumatra binder and golden Connecticut wrapper. This no fuss bundle delivers smooth,..."
1876 Reserve Maduro Churchill,25.99,$104.50 · Now $47.49 - $49.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10852/30826/1876_Reserve_Maduro_DSCN1637__00166.1685638692.png?c=3,https://www.gothamcigars.com/1876-reserve-maduro-churchill,cigar,Premium Cigars,1876 Reserve,"1876 Reserve Maduro Churchill is a high-quality blend of fine Dominican tobacco fillers and Sumatra binder draped in a dark maduro wrapper. Hailing from the Dominican Republic, these mild bodied smokes have nice complex flavors with natural sweetness..."
1876 Reserve Maduro Robusto,25.99,$89.00 · Now $39.89 - $41.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10851/30827/1876_Reserve_Maduro_DSCN1654__41848.1685638746.png?c=3,https://www.gothamcigars.com/1876-reserve-maduro-robusto,cigar,Premium Cigars,1876 Reserve,1876 Reserve Maduro Robusto is a high-quality blend of fine Dominican tobacco fillers and Sumatra binder draped in a dark maduro wrapper. These mild bodied smokes have nice complex flavors with natural sweetness from the maduro wrapper. Their incredible...
1876 Reserve Maduro Toro,25.99,$94.50 · Now $45.59 - $47.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10853/31132/1876_reserve_maduro_toro__45699.1692634144.png?c=3,https://www.gothamcigars.com/1876-reserve-maduro-toro,cigar,Premium Cigars,1876 Reserve,1876 Reserve Maduro Toro is a high-quality blend of fine Dominican tobacco fillers and Sumatra binder draped in a dark maduro wrapper. These mild bodied smokes have complex flavors with natural sweetness from the maduro wrapper. Their incredible price...
1876 Reserve Maduro Torpedo,25.99,$104.50 · Now $49.39 - $51.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10854/30825/1876_Reserve_Maduro_DSCN1652__34354.1685638623.png?c=3,https://www.gothamcigars.com/1876-reserve-maduro-torpedo,cigar,Premium Cigars,1876 Reserve,1876 Reserve Maduro Torpedo is a high-quality blend of fine Dominican tobacco fillers and Sumatra binder draped in a dark maduro wrapper. These mild bodied smokes have nice complex flavors with natural sweetness from the maduro wrapper. Their incredible...
1876 Reserve Robusto,25.99,$89.00 · Now $39.89 - $41.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10847/30751/1876_Reserve_Robusto__41806.1684948530.png?c=3,https://www.gothamcigars.com/1876-reserve-robusto,cigar,Premium Cigars,1876 Reserve,"1876 Reserve Robusto is an impressive Dominican cigar, especially for the price. These mild bodied cigars are made with an incredible blend of Dominican long fillers, Sumatra binder and golden Connecticut wrapper. This no fuss bundle delivers smooth,..."
1876 Reserve Toro,25.99,$94.50 · Now $45.59 - $47.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10850/30748/1876_Reserve_Toro__49113.1684948315.png?c=3,https://www.gothamcigars.com/1876-reserve-toro,cigar,Premium Cigars,1876 Reserve,"1876 Reserve Toro is an impressive Dominican cigar, especially for the price. These mild bodied cigars are made with an incredible blend of Dominican long fillers, Sumatra binder and golden Connecticut wrapper. This no fuss bundle delivers smooth,..."
1876 Reserve Torpedo,25.99,$104.50 · Now $49.39 - $51.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10849/30749/1876_Reserve_Torpedo__88308.1684948358.png?c=3,https://www.gothamcigars.com/1876-reserve-torpedo,cigar,Premium Cigars,1876 Reserve,"1876 Reserve Torpedo is an impressive Dominican cigar, especially for the price. These mild bodied cigars are made with an incredible blend of Dominican long fillers, Sumatra binder and golden Connecticut wrapper. This no fuss bundle delivers smooth,..."
5 Boroughs 212 Churchill,25.99,$59.99 · Now $46.54 - $48.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10773/30208/BoroughsCigars_212_ChurchillConnecticut_x10__62517.1669651289.jpg?c=3,https://www.gothamcigars.com/5-boroughs-212-churchill,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs 212 Churchill is a mild to medium bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Jalapa and..."
5 Boroughs 212 Gordo,25.99,$62.99 · Now $47.49 - $49.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10772/30205/BoroughsCigars_212_GordoConnecticut_x10__36516.1669651249.jpg?c=3,https://www.gothamcigars.com/5-boroughs-212-gordo,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs 212 Gordo is a mild to medium bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Jalapa and Esteli..."
5 Boroughs 212 Toro,25.99,$55.99 · Now $43.69 - $45.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10771/30202/BoroughsCigars_212_ToroConnecticut_x10__12995.1669651206.jpg?c=3,https://www.gothamcigars.com/5-boroughs-212-toro,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs 212 Toro is a mild to medium bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Jalapa and Esteli..."
5 Boroughs Bowery Churchill,25.99,$59.99 · Now $46.54 - $48.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10767/30191/BoroughsCigars_Bowery_ChurchillMaduro_x10__86161.1669651035.jpg?c=3,https://www.gothamcigars.com/5-boroughs-bowery-churchill,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs Bowery Churchill is a medium bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Jalap and..."
5 Boroughs Bowery Gordo,25.99,$62.99 · Now $47.49 - $49.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10766/30187/BoroughsCigars_Bowery_GordoMaduro_x10__07016.1669650967.jpg?c=3,https://www.gothamcigars.com/5-boroughs-bowery-gordo,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs Bowery Gordo is a medium bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Jalap and Esteli..."
5 Boroughs Bowery Toro,25.99,$55.99 · Now $43.69 - $45.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10765/30184/BoroughsCigars_Bowery_ToroMaduro_x10__16112.1669650906.jpg?c=3,https://www.gothamcigars.com/5-boroughs-bowery-toro,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs Bowery Toro is a medium bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Jalap and Esteli..."
5 Boroughs Chelsea Churchill,25.99,$59.99 · Now $46.54 - $48.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10770/30200/BoroughsCigars_Chelsea_ChurchillHabano_x10__77198.1669651162.jpg?c=3,https://www.gothamcigars.com/5-boroughs-chelsea-churchill,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs Chelsea Churchill is a medium to full bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega,..."
5 Boroughs Chelsea Gordo,25.99,$62.99 · Now $47.49 - $49.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10769/30196/BoroughsCigars_Chelsea_GordoHabano_x10__57182.1669651122.jpg?c=3,https://www.gothamcigars.com/5-boroughs-chelsea-gordo,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs Chelsea Gordo is a medium to full bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Ometepe..."
5 Boroughs Chelsea Toro,25.99,$55.99 · Now $43.69 - $45.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10768/30193/BoroughsCigars_Chelsea_ToroHabano_x10__59618.1669651082.jpg?c=3,https://www.gothamcigars.com/5-boroughs-chelsea-toro,cigar,Premium Cigars,5 Boroughs Bowery,"5 Boroughs Chelsea Toro is a medium to full bodied smoke handmade at the boutique Tabacalera Pages factory in Nicaragua. Each cigar features a three region long filler blend of Nicaraguan tobaccos from the fertile regions of Condega, Ometepe..."
5 Vegas Gold Bullion,25.99,$143.00 · Now $28.99 - $99.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10586/28560/5-Vegas-Gold-Bullion__55933.1656779105.jpg?c=3,https://www.gothamcigars.com/5-vegas-gold-bullion,cigar,Premium Cigars,5 Vegas Gold,"5 Vegas Gold Bullion is an exceptional blend featuring aged tobaccos, crafted by Nestor Plasencia. This smooth and mild blend features hand selected tobaccos from the Plasencia farm in Honduras that have been aged for five years. These remarkable long..."
5 Vegas Gold Churchill,25.99,$135.60 · Now $93.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10587/32765/5-Vegas-Gold-Churchill---Box-with-Single-Stick__27001.1721064531.png?c=3,https://www.gothamcigars.com/5-vegas-gold-churchill,cigar,Premium Cigars,5 Vegas Gold,"5 Vegas Gold Churchill is an exceptional blend featuring aged tobaccos, crafted by Nestor Plasencia. This smooth and mild blend features hand selected tobaccos from the Plasencia farm in Honduras that have been aged for five years. These remarkable..."
5 Vegas Gold Double Nickel,25.99,$127.00 · Now $25.99 - $87.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10588/32560/5-Vegas-Gold-Double-Nickel__21855__08130.1717514122.jpg?c=3,https://www.gothamcigars.com/5-vegas-gold-double-nickel,cigar,Premium Cigars,5 Vegas Gold,"5 Vegas Gold Double Nickel is an exceptional blend featuring aged tobaccos, crafted by Nestor Plasencia. This smooth and mild blend features hand selected tobaccos from the Plasencia farm in Honduras that have been aged for five years. These remarkable..."
5 Vegas Gold Toro,25.99,$117.00 · Now $79.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10488/28495/vegas-gold__54660.1728047772.jpg?c=3,https://www.gothamcigars.com/5-vegas-gold-toro,cigar,Premium Cigars,5 Vegas Gold,"5 Vegas Gold Toro is an exceptional blend featuring aged tobaccos, crafted by Nestor Plasencia. This smooth and mild blend features hand selected tobaccos from the Plasencia farm in Honduras that have been aged for five years. These remarkable long..."
601 Blue Label Maduro Prominente,25.99,$197.44 · Now $46.37 - $169.48,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/9562/23816/601-cigars-blue-label-prominente-box-and-stick__58870.1528382965.png?c=3,https://www.gothamcigars.com/601-blue-label-maduro-prominente,cigar,Premium Cigars,601 Blue,"601 Blue Label Maduro Prominente is a bold and expertly crafted cigar, designed for those who enjoy a full-bodied smoking experience. Wrapped in a dark and oily Nicaraguan Maduro wrapper, this premium cigar delivers deep, satisfying flavors with every..."
601 Blue Label Maduro Torpedo,25.99,$188.00 · Now $48.15 - $176.60,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/9561/27603/601-Blue-Maduro-Torpedo__30680.1587584791.1280.1280__80532.1619039482.jpg?c=3,https://www.gothamcigars.com/601-blue-label-maduro-torpedo,cigar,Premium Cigars,601 Blue,"601 Blue Label Maduro Torpedo is a bold and expertly crafted cigar, designed for those who enjoy a full-bodied smoking experience. Wrapped in a dark and oily Nicaraguan Maduro wrapper, this premium cigar delivers deep, satisfying flavors with every puff..."
601 Green Label Oscuro Trabuco,25.99,$229.00 · Now $46.58 - $170.32,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6565/26894/601-Green-Label-Oscuro-Trabuco__29570.1770021963.jpg?c=3,https://www.gothamcigars.com/601-green-label-oscuro-trabuco,cigar,Premium Cigars,601 Green,"601 Green Label Oscuro Trabuco is a handmade Nicaraguan ""puro"". This cigar features a premium blend of fermented Nicaraguan fillers encased in a dark chocolate brown Habano Oscuro leaf wrapper. Perfectly constructed and seamless without veins, the..."
A Y C Grenadier Natural Dark Box,25.99,$97.50 · Now $73.14 - $76.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/9737/24782/AYC_NATURAL_DARK__45888.1718976006.png?c=3,https://www.gothamcigars.com/a-y-c-grenadier-natural-dark-box,cigar,Machine Made Cigars,A Y C,AYC Natural Dark Box are classic machine-made cigars manufactured by Altadis USA and loved by cigar smokers around the world. These cigars feature all natural Cuban-seed tobacco fillers rolled in a natural Connecticut shade wrapper for a pleasant and...
A Y C Grenadier Natural Dark Pack,25.99,$61.48 · Now $44.64 - $46.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6866/24787/AYC_NATURAL_DARK_PACK_BOX__03341.1684944412.png?c=3,https://www.gothamcigars.com/a-y-c-grenadier-natural-dark-pack,cigarillo,Machine Made Cigars,A Y C Grenadier Natural,"A Y C Grenadier Natural Dark Pack cigars are smooth, mellow, and full of rich tobacco flavor. Made with high-quality natural tobacco fillers, they provide a slow, even burn and an easy draw for a relaxing smoke. Each cigar is 6 1/4 inches long..."
A Y C Grenadier Natural Light Pack,25.99,$61.48 · Now $44.64 - $46.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6861/24788/AYC_LIGHT_PACK_BOX__52587.1738735845.png?c=3,https://www.gothamcigars.com/a-y-c-grenadier-natural-light-pack,cigarillo,Machine Made Cigars,A Y C Grenadier Natural,"A Y C Grenadier Natural Light Pack cigars are smooth, mellow, and full of rich tobacco flavor. Made with high-quality natural tobacco fillers, they provide a slow, even burn and an easy draw for a relaxing smoke. Each cigar is 6 1/4 inches long..."
ACID 20 Toro,25.99,$245.00 · Now $189.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10543/28418/acid-toro-20__09777.1644606852.jpg?c=3,https://www.gothamcigars.com/acid-20-toro,cigar,Premium Cigars,Acid,"Acid 20 Toro by Drew Estate is perhaps their best Acid blend yet, and that's saying a lot. The Acid portfolio is full of unique blends that have rocked the cigar world for the last 20 years. So in celebration of this feat, the Acid 20 Connecticut blend..."
ACID 20 Toro Maduro 5 Pack,25.99,$61.25 · Now $42.50,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10920/31192/Acid_20_toro_5_pack_1__08142.1694718936.png?c=3,https://www.gothamcigars.com/acid-20-toro-maduro-5-pack,cigar,Premium Cigars,Acid,"Acid 20 Toro Maduro 5 Pack by Drew Estate is perhaps their best Acid blend yet, and that's saying a lot. The Acid portfolio is full of unique blends that have rocked the cigar world for the last 20 years. So in celebration of this feat, the Acid 20..."
ACID Blue 1400cc,25.99,$246.60 · Now $190.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7029/24274/Acid-cigars-1400cc-box-and-stick__09618.1740679649.png?c=3,https://www.gothamcigars.com/acid-blue-1400cc,cigar,Premium Cigars,Acid Blue,"ACID Blue 1400cc is a premium infused cigar that delivers an exotic, aromatic experience! Packed in a sleek tubo, this handcrafted cigar is infused with ACID's signature blend of botanicals, herbs, and essential oils. Wrapped in a silky..."
ACID Blue Blondie,25.99,$276.00 · Now $214.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7027/30378/Acid-Blue-Blondie__13728.1740680941.jpg?c=3,https://www.gothamcigars.com/acid-blue-blondie,cigar,Premium Cigars,Acid Blue,"ACID Blue Blondie is a cigar that's as unique as it is flavorful! Infused with ACID's signature blend of botanicals, herbs, and essential oils, this small cigar delivers an exotic and aromatic smoke. Wrapped in a silky Connecticut..."
ACID Blue Blondie 5 Cigar Fresh Pack,25.99,$34.50 · Now $27.54 - $28.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/10414/28028/Acid-Blondie-5-Pack__03385.1626122737.jpg?c=3,https://www.gothamcigars.com/acid-blue-blondie-5-cigar-fresh-pack,cigar,Premium Cigars,Acid Blue,"Experience the smooth and aromatic flavor of the ACID Blue Blondie 5 Cigar Fresh Pack. These premium cigars, crafted by Drew Estate, are infused with a unique blend of herbs, essential oils, and botanicals that create an unforgettable smoking experience..."
ACID Blue Blondie Belicoso,25.99,$264.00 · Now $200.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/6426/30383/Acid-Blue-Blondie-Belicoso__10496.1740900968.jpg?c=3,https://www.gothamcigars.com/acid-blue-blondie-belicoso,cigar,Premium Cigars,Acid Blue,"The Acid Blue Blondie Belicoso is a smooth, flavorful, and aromatic cigar made by Drew Estate. Handcrafted with high-quality Nicaraguan tobacco, it is infused with a unique blend of herbs and botanicals, creating a one-of-a-kind smoking experience..."
ACID Blue Deep Dish,25.99,$306.00 · Now $235.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7024/24285/acid-cigars-blue-deep-dish-box-and-stick__47386.1740682286.png?c=3,https://www.gothamcigars.com/acid-blue-deep-dish,cigar,Premium Cigars,Acid Blue,"ACID Blue Deep Dish is a bold and flavorful infused cigar that delivers a smooth, aromatic smoking experience! Wrapped in a dark Sumatra leaf, this cigar is infused with a secret blend of botanicals, herbs, and essential oils, creating a rich and complex..."
ACID Blue Kuba Deluxe,25.99,$147.00 · Now $113.99,https://cdn11.bigcommerce.com/s-3om7ob/images/stencil/590x590/products/7015/24728/ACID_KUBA_BOX__21916.1741422421.png?c=3,https://www.gothamcigars.com/acid-blue-kuba-deluxe,cigar,Premium Cigars,Acid Blue,"ACID Blue Kuba Deluxe is a cigar like no other! Packed with bold flavors and exotic aromas, this handcrafted cigar is infused with ACID's signature blend of botanicals, herbs, and essential oils. Wrapped in a smooth Connecticut Shade leaf,..."
