product_name,price,image,product_url,category,subcategory,brand,sku,barcode,price_original
Lava Big Boy Black Ice,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/whatsapp_image_2023-07-17_at_12.33.39_pm-1.jpeg,https://lavaplusvape.com/index.php/product/lava-big-boy-black-ice/,vape,Lava Big Boy,Lava,LAVA-0001,800000000001,16
Lava Big Boy Blueberry Raspberry,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/15-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-blueberry-raspberry/,vape,Lava Big Boy,Lava,LAVA-0002,800000000002,16
Lava Big Boy Blueberry Raspberry Lemon,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/1-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-blueberry-raspberry-lemon/,vape,Lava Big Boy,Lava,LAVA-0003,800000000003,16
Lava Big Boy Clear,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/6-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-clear/,vape,Lava Big Boy,Lava,LAVA-0004,800000000004,16
Lava Big Boy Clear Ice,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/16-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-clear-ice/,vape,Lava Big Boy,Lava,LAVA-0005,800000000005,16
Lava Big Boy Cool Mint,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/bb_cool_mint_pic.jpg,https://lavaplusvape.com/index.php/product/lava-big-boy-cool-mint/,vape,Lava Big Boy,Lava,LAVA-0006,800000000006,16
Lava Big Boy Cuban Tobacco,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/13-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-cuban-tobacco/,vape,Lava Big Boy,Lava,LAVA-0007,800000000007,16
Lava Big Boy Ice Grape,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/17-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-ice-grape/,vape,Lava Big Boy,Lava,LAVA-0008,800000000008,16
Lava Big Boy Lush Ice,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/7-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-lush-ice/,vape,Lava Big Boy,Lava,LAVA-0009,800000000009,16
Lava Big Boy Passion Fruit Melon,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/14-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-passion-fruit-melon/,vape,Lava Big Boy,Lava,LAVA-0010,800000000010,16
Lava Big Boy Peach Ice,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/8-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-peach-ice/,vape,Lava Big Boy,Lava,LAVA-0011,800000000011,16
Lava Big Boy Sour Apple Ice,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/11-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-sour-apple-ice/,vape,Lava Big Boy,Lava,LAVA-0012,800000000012,16
Lava Big Boy Spearmint,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/18-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-spearmint/,vape,Lava Big Boy,Lava,LAVA-0013,800000000013,16
Lava Big Boy Strawberry Ice,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/9-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-strawerry-ice/,vape,Lava Big Boy,Lava,LAVA-0014,800000000014,16
Lava Big Boy Strawberry Watremelon Peach,59.99,https://lavaplusvape.com/wp-content/uploads/2024/03/4-2.png,https://lavaplusvape.com/index.php/product/lava-big-boy-strawberry-watremelon-peach/,vape,Lava Big Boy,Lava,LAVA-0015,800000000015,16
